#TIME	REQUESTED	python3	slurm_script	sps
1	48	0	0	inf
2	48	7.23958	0	0.03125
3	48	4.16667	0	0.03125
4	48	2.35156	0	0.0208333
5	48	3.16016	0	0.0214844
6	48	2.82895	0	0.0213816
7	48	2.58807	0	0.0227273
8	48	2.405	0	0.02375
9	48	2.23326	0	0.0245536
10	48	2.12097	0	0.0252016
11	48	2.02849	0	0.0248162
12	48	1.95101	0	0.0261824
13	48	1.88516	0	0.0257812
14	48	1.78622	0	0.0255682
15	48	1.74069	0	0.025266
16	48	1.70062	0	0.025
17	48	1.72936	0	0.0259434
18	48	1.69308	0	0.0262277
19	48	1.66102	0	0.0259534
20	48	1.63256	0	0.0262097
21	48	1.58381	0	0.0260417
22	48	1.56159	0	0.0262681
23	48	1.5408	0	0.0260417
24	48	1.52208	0	0.02625
25	48	1.50921	0	0.0260417
26	48	1.49344	0	0.0262346
27	48	1.43283	0	0.0258621
28	48	1.42396	0	0.0256944
29	48	1.40858	0	0.0255984
30	48	1.39916	0	0.0257732
31	48	1.42125	0	0.0259375
32	48	1.4111	0	0.0260922
33	48	1.40153	0	0.0262382
34	48	1.39249	0	0.0263761
35	48	2.62277	0	0.0265067
36	48	3.90167	0	0.0266703
37	48	5.14575	0	0.0267857
38	48	6.31634	0	0.0268955
39	48	7.292	0	0.02675
40	48	7.14575	0	0.0266113
41	48	7.00644	0	0.026479
42	48	6.87337	0	0.0261194
43	48	6.74589	0	0.0262318
44	48	6.6192	0	0.0258929
45	48	6.45747	0	0.0256076
46	48	6.34609	0	0.0255102
47	48	6.24042	0	0.0258333
48	48	6.1348	0	0.0257353
49	48	5.92335	0	0.0253538
50	48	5.83333	0	0.0252701
51	48	5.71216	0	0.0252259
52	48	5.62999	0	0.0253328
53	48	5.55087	0	0.0252544
54	48	5.47429	0	0.0255357
55	48	5.40221	0	0.0254565
56	48	5.33028	0	0.0253798
57	48	5.26087	0	0.0254755
